id	vernacularName	source	language	countryCode	sex	lifeStage	isPreferredName
136	Cephalopods	TAXREF	eng	GB	null	null	null
205	Hydroids	Checklist of Vermont Species	eng	US	null	null	null
105	Encrusting Sponges	Martha's Vineyard species checklist	eng	null	null	null	false
2334066	Bullhead	World Register of Marine Species	eng	null	null	null	false
2334781	Yellow Perches	Martha's Vineyard species checklist	eng	null	null	null	null
2340965	Bullheads	Checklist of Vermont Species	eng	US	null	null	null
2341047	Channel Catfishes	Checklist of Vermont Species	eng	US	null	null	null
2346628	Pikes	Checklist of Vermont Species	eng	US	null	null	null
7009	Emeralds	Integrated Taxonomic Information System (ITIS)	eng	null	null	null	null
110	Lampshells	Checklist of Vermont Species	eng	US	null	null	false
7015	Noctuid Moths	Checklist of Vermont Species	eng	US	null	null	null
7017	Brush-footed Butterfly	Martha's Vineyard species checklist	eng	null	null	null	null
3088468	Marigolds	TAXREF	eng	GB	null	null	null
4406589	Carrion Beetle Mites	Checklist of Vermont Species	eng	US	null	null	true
8079058	Cinquefoil	Checklist of Vermont Species	eng	US	null	null	null
1457	Wasps	Martha's Vineyard species checklist	eng	null	null	null	null
1459	Rodents	Checklist of Vermont Species	eng	US	null	null	null
1470	Beetle	Martha's Vineyard species checklist	eng	null	null	null	null
1496	True Spiders	World Register of Marine Species	eng	null	null	null	true
1501	Ant Lions	Martha's Vineyard species checklist	eng	null	null	null	null
1244656	Lineate Bark Beetle	United Kingdom Species Inventory (UKSI)	eng	null	null	null	false
1249682	Pearslug	Checklist of Vermont Species	eng	US	null	null	null
1249687	Striped Alder Sawfly	Checklist of Vermont Species	eng	US	null	null	null
1249695	Bristly Roseslug	Checklist of Vermont Species	eng	US	null	null	null
1249740	Spruce Sawfly	Checklist of Vermont Species	eng	US	null	null	null
1256546	Parasitoid Wasp	Checklist of Vermont Species	eng	US	null	null	null
1257912	Hornworm Parasitoid Wasp	Checklist of Vermont Species	eng	US	null	null	true
1264955	Stigmata Mummy Wasp	Checklist of Vermont Species	eng	US	null	null	true
1273626	Ichneumonid Wasp	Global Register of Introduced and Invasive Species - United States (Contiguous) (ver.2.0, 2022)	eng	US	null	null	null
1277461	Parasitoid Wasp	Global Register of Introduced and Invasive Species - Hawaii, United States (ver.2.0, 2022)	eng	US	null	null	null
1280974	Greene's Giant Ichneumonid Wasp	Checklist of Vermont Species	eng	US	null	null	true
1281014	Long-tailed Giant Ichneumonid Wasp	Checklist of Vermont Species	eng	US	null	null	true
1294813	Bent-shielded Besieger Wasp	Checklist of Vermont Species	eng	US	null	null	true
1309645	Round Bullet Gall Wasp	Checklist of Vermont Species	eng	US	null	null	true
1309656	Hedgehog Gall Wasp	Checklist of Vermont Species	eng	US	null	null	true
1309692	Common Spangle Gall	United Kingdom Species Inventory (UKSI)	eng	null	null	null	false
1309699	Glechoma Gall Wasp	Checklist of Vermont Species	eng	US	null	null	true
1310556	Dark Paper Wasp	Checklist of Vermont Species	eng	US	null	null	true
1311527	Hornet	Checklist of Vermont Species	eng	US	null	null	null
1311640	Forest Yellowjacket	Checklist of Vermont Species	eng	US	null	null	true
1311649	German Wasp	TAXREF	eng	GB	null	null	null
1334821	European Woolcarder	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1334902	Oblong Woolcarder Bee	Checklist of Vermont Species	eng	US	null	null	true
1335066	Tan-cheeked Leafcutter	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1335128	Silver-tailed Petalcutter	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1335251	Golden-tailed Leafcutter Bee	Checklist of Vermont Species	eng	US	null	null	true
1335505	Patchwork Leafcutter	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1335648	Alfalfa Leafcutting Bee	Checklist of Vermont Species	eng	US	null	null	null
1338621	Say's Sharptail	Checklist of Vermont Species	eng	US	null	null	true
1338779	Porter's Sharptail	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1338940	Eastern Cicada-killer Wasp	Martha's Vineyard species checklist	eng	null	null	null	true
1339646	Pruinose Squash Bee	Checklist of Vermont Species	eng	US	null	null	true
1340339	Sanderson's Bumble Bee	Checklist of Vermont Species	eng	US	null	null	true
1340350	Common Eastern Bumble Bee	Martha's Vineyard species checklist	eng	null	null	null	null
1340382	Two-spotted Bumblebee	Checklist of Vermont Species	eng	US	null	null	true
1340406	Confusing Bumble Bee	Martha's Vineyard species checklist	eng	null	null	null	null
1340416	American Bumblebee	Checklist of Vermont Species	eng	US	null	null	true
1340446	Black And Gold Bumble Bee	Checklist of Vermont Species	eng	US	null	null	null
1340457	Ashton's Cuckoo Bumble Bee	Checklist of Vermont Species	eng	US	null	null	null
1340478	Golden Northern Bumble Bee	Martha's Vineyard species checklist	eng	null	null	null	true
